date,time,day,station,line,entry_count,exit_count,net_flow,gate_id,is_peak_hour,is_holiday,weather
2026-02-14,22:45,Saturday,Jangpura,Violet Line,48,53,-5,G-05,0,0,Foggy
2026-02-20,21:00,Friday,Satguru Ram Singh Marg,Green Line,35,30,5,G-06,0,0,Clear
2026-01-10,16:15,Saturday,Model Town,Yellow Line,92,80,12,G-06,0,0,Clear
2026-01-16,10:15,Friday,Jama Masjid,Violet Line,137,135,2,G-03,1,0,Clear
2026-02-08,18:45,Sunday,Hauz Khas,Yellow Line,159,129,30,G-02,1,1,Rainy
2026-02-11,09:15,Wednesday,Sultanpur,Yellow Line,211,175,36,G-04,1,0,Cloudy
2026-01-15,07:45,Thursday,Chawri Bazar,Yellow Line,124,132,-8,G-06,0,0,Rainy
2026-01-27,20:00,Tuesday,Netaji Subhash Place,Red Line,89,83,6,G-06,0,0,Foggy
2026-02-04,10:00,Wednesday,Neelam Chowk Ajronda,Violet Line,194,184,10,G-05,1,0,Cloudy
2026-02-23,19:30,Monday,Dwarka Sector 21,Blue Line,447,354,93,G-03,1,0,Clear
2026-01-02,23:45,Friday,Sikanderpur,Yellow Line,132,145,-13,G-01,0,0,Foggy
2026-01-29,06:45,Thursday,Kohat Enclave,Red Line,28,26,2,G-04,0,0,Cloudy
2026-02-03,22:45,Tuesday,HUDA City Centre,Yellow Line,104,95,9,G-03,0,0,Clear
2026-01-21,13:30,Wednesday,Udyog Nagar,Green Line,70,68,2,G-04,0,0,Foggy
2026-02-18,19:45,Wednesday,Malviya Nagar,Yellow Line,249,190,59,G-03,1,0,Clear
2026-02-28,22:45,Saturday,Janakpuri West,Blue Line,112,103,9,G-06,0,0,Clear
2026-02-07,10:45,Saturday,Udyog Bhawan,Yellow Line,143,102,41,G-05,1,0,Foggy
2026-02-13,07:00,Friday,Udyog Bhawan,Yellow Line,107,81,26,G-03,0,0,Clear
2026-01-20,19:45,Tuesday,Noida Sector 15,Blue Line,146,144,2,G-02,1,0,Foggy
2026-02-02,14:15,Monday,Udyog Bhawan,Yellow Line,57,50,7,G-06,0,0,Clear
2026-01-05,15:30,Monday,Shastri Nagar,Red Line,26,27,-1,G-05,0,0,Rainy
2026-02-01,07:30,Sunday,Chawri Bazar,Yellow Line,43,36,7,G-01,0,1,Smoggy
2026-02-10,12:00,Tuesday,Moolchand,Violet Line,158,135,23,G-07,0,0,Rainy
2026-02-18,08:30,Wednesday,Haiderpur Badli Mor,Yellow Line,275,251,24,G-01,1,0,Foggy
2026-02-04,16:15,Wednesday,Sarita Vihar,Violet Line,77,69,8,G-04,0,0,Foggy
2026-01-14,14:15,Wednesday,Dwarka,Blue Line,40,35,5,G-01,0,0,Foggy
2026-02-19,08:45,Thursday,Shastri Nagar,Red Line,244,199,45,G-05,1,0,Foggy
2026-02-04,20:45,Wednesday,Karol Bagh,Blue Line,187,192,-5,G-07,0,0,Foggy
2026-02-07,22:45,Saturday,Satguru Ram Singh Marg,Green Line,30,33,-3,G-03,0,0,Foggy
2026-02-04,21:45,Wednesday,Kashmere Gate,Yellow Line,129,129,0,G-06,0,0,Clear
2026-01-17,11:30,Saturday,Adarsh Nagar,Yellow Line,163,131,32,G-03,0,0,Clear
2026-02-14,22:30,Saturday,Indraprastha,Blue Line,33,33,0,G-04,0,0,Clear
2026-01-17,12:00,Saturday,Rajendra Place,Blue Line,88,78,10,G-02,0,0,Cloudy
2026-01-30,12:30,Friday,Karol Bagh,Blue Line,283,272,11,G-01,0,0,Rainy
2026-02-02,23:00,Monday,Welcome,Red Line,36,34,2,G-04,0,0,Rainy
2026-01-07,07:30,Wednesday,Brigadier Hoshiar Singh,Green Line,97,95,2,G-01,0,0,Clear
2026-01-03,23:15,Saturday,Mohan Estate,Violet Line,34,29,5,G-05,0,0,Clear
2026-02-01,14:15,Sunday,Badarpur Border,Violet Line,20,17,3,G-07,0,1,Clear
2026-02-11,07:00,Wednesday,Khan Market,Violet Line,75,74,1,G-01,0,0,Cloudy
2026-01-05,12:00,Monday,Rohini West,Red Line,85,67,18,G-02,0,0,Clear
2026-01-21,22:15,Wednesday,Ramesh Nagar,Blue Line,31,39,-8,G-04,0,0,Rainy
2026-02-09,23:00,Monday,Pitampura,Red Line,24,22,2,G-01,0,0,Clear
2026-02-02,23:15,Monday,Badarpur Border,Violet Line,71,69,2,G-02,0,0,Cloudy
2026-02-06,20:30,Friday,Netaji Subhash Place,Red Line,118,124,-6,G-05,0,0,Clear
2026-01-14,11:30,Wednesday,ITO,Violet Line,85,69,16,G-04,0,0,Foggy
2026-02-09,17:30,Monday,Mohan Estate,Violet Line,237,206,31,G-02,1,0,Clear
2026-01-27,17:45,Tuesday,Dwarka Sector 8,Blue Line,170,138,32,G-03,1,0,Clear
2026-02-04,09:30,Wednesday,Shivaji Park,Green Line,92,98,-6,G-03,1,0,Foggy
2026-02-13,19:30,Friday,ITO,Violet Line,232,232,0,G-06,1,0,Clear
2026-02-05,10:15,Thursday,Uttam Nagar East,Blue Line,191,182,9,G-04,1,0,Smoggy
2026-01-25,14:00,Sunday,Rajiv Chowk,Blue Line,103,122,-19,G-06,0,1,Cloudy
2026-02-13,13:00,Friday,IFFCO Chowk,Yellow Line,111,130,-19,G-05,0,0,Clear
2026-02-11,15:00,Wednesday,Punjabi Bagh,Green Line,20,19,1,G-04,0,0,Cloudy
2026-02-16,18:15,Monday,Jama Masjid,Violet Line,169,169,0,G-05,1,0,Foggy
2026-01-21,23:00,Wednesday,Rohini East,Red Line,43,33,10,G-06,0,0,Clear
2026-01-21,12:30,Wednesday,HUDA City Centre,Yellow Line,147,194,-47,G-04,0,0,Clear
2026-01-07,05:15,Wednesday,Inderlok,Red Line,59,48,11,G-02,0,0,Smoggy
2026-02-28,15:45,Saturday,Harkesh Nagar Okhla,Violet Line,42,34,8,G-06,0,0,Clear
2026-01-15,05:00,Thursday,New Delhi,Yellow Line,166,118,48,G-06,0,0,Rainy
2026-02-20,21:00,Friday,Qutab Minar,Yellow Line,23,22,1,G-01,0,0,Clear
2026-01-25,20:15,Sunday,Inderlok,Red Line,31,34,-3,G-02,0,1,Clear
2026-02-24,14:15,Tuesday,IFFCO Chowk,Yellow Line,30,28,2,G-05,0,0,Clear
2026-02-28,22:15,Saturday,Kirti Nagar,Blue Line,27,34,-7,G-03,0,0,Cloudy
2026-01-09,11:30,Friday,Pulbangash,Red Line,139,117,22,G-03,0,0,Cloudy
2026-02-04,15:45,Wednesday,Govindpuri,Violet Line,33,29,4,G-02,0,0,Foggy
2026-02-02,09:45,Monday,Udyog Bhawan,Yellow Line,164,216,-52,G-01,1,0,Clear
2026-01-30,13:00,Friday,Punjabi Bagh,Green Line,116,111,5,G-04,0,0,Clear
2026-02-26,14:30,Thursday,Pitampura,Red Line,27,23,4,G-02,0,1,Foggy
2026-01-31,18:30,Saturday,Inderlok,Red Line,204,131,73,G-05,1,0,Clear
2026-01-23,22:15,Friday,Noida Sector 15,Blue Line,42,25,17,G-02,0,0,Clear
2026-02-10,12:15,Tuesday,Nangloi,Green Line,75,75,0,G-03,0,0,Clear
2026-02-09,08:15,Monday,AIIMS,Yellow Line,298,268,30,G-04,1,0,Clear
2026-01-28,10:30,Wednesday,Ramesh Nagar,Blue Line,149,139,10,G-05,1,0,Cloudy
2026-02-21,06:00,Saturday,Kohat Enclave,Red Line,28,25,3,G-03,0,0,Foggy
2026-02-21,05:30,Saturday,Tis Hazari,Red Line,44,43,1,G-06,0,0,Smoggy
2026-02-16,07:45,Monday,Guru Dronacharya,Yellow Line,86,59,27,G-04,0,0,Rainy
2026-02-07,18:00,Saturday,Delhi Gate,Violet Line,303,289,14,G-01,1,0,Clear
2026-02-15,08:00,Sunday,Pulbangash,Red Line,33,40,-7,G-01,1,1,Cloudy
2026-01-01,14:15,Thursday,Jahangirpuri,Yellow Line,20,24,-4,G-03,0,0,Foggy
2026-02-21,14:45,Saturday,Rajiv Chowk,Blue Line,130,115,15,G-03,0,0,Foggy
2026-01-22,15:30,Thursday,Jahangirpuri,Yellow Line,51,36,15,G-06,0,0,Clear
2026-02-04,23:15,Wednesday,Vishwavidyalaya,Yellow Line,71,76,-5,G-03,0,0,Rainy
2026-02-18,07:00,Wednesday,Paschim Vihar West,Green Line,78,75,3,G-03,0,0,Rainy
2026-02-25,22:45,Wednesday,Badarpur Border,Violet Line,34,29,5,G-06,0,0,Foggy
2026-01-29,11:00,Thursday,Uttam Nagar East,Blue Line,81,66,15,G-06,0,0,Rainy
2026-01-01,21:30,Thursday,Netaji Subhash Place,Red Line,43,35,8,G-02,0,0,Cloudy
2026-02-19,06:00,Thursday,Tis Hazari,Red Line,34,35,-1,G-03,0,0,Foggy
2026-01-30,06:15,Friday,Malviya Nagar,Yellow Line,29,24,5,G-03,0,0,Cloudy
2026-01-17,06:00,Saturday,Shastri Nagar,Red Line,61,59,2,G-03,0,0,Clear
2026-01-07,09:45,Wednesday,Race Course,Yellow Line,227,240,-13,G-05,1,0,Rainy
2026-01-26,11:15,Monday,AIIMS,Yellow Line,37,40,-3,G-03,0,1,Clear
2026-02-10,12:45,Tuesday,Karol Bagh,Blue Line,279,272,7,G-01,0,0,Clear
2026-02-09,14:15,Monday,Welcome,Red Line,24,19,5,G-02,0,0,Smoggy
2026-01-10,05:45,Saturday,Mewala Maharajpur,Violet Line,33,29,4,G-06,0,0,Foggy
2026-01-06,15:00,Tuesday,Kailash Colony,Violet Line,50,47,3,G-01,0,0,Foggy
2026-02-03,15:30,Tuesday,Vishwavidyalaya,Yellow Line,56,65,-9,G-04,0,0,Foggy
2026-01-27,22:45,Tuesday,Vishwavidyalaya,Yellow Line,60,51,9,G-03,0,0,Cloudy
2026-02-02,17:45,Monday,Udyog Nagar,Green Line,233,222,11,G-02,1,0,Cloudy
2026-02-18,19:30,Wednesday,Satguru Ram Singh Marg,Green Line,181,171,10,G-05,1,0,Rainy
2026-02-15,13:15,Sunday,Model Town,Yellow Line,38,31,7,G-02,0,1,Foggy
2026-01-16,12:30,Friday,Barakhamba Road,Blue Line,159,159,0,G-02,0,0,Foggy
2026-02-08,19:30,Sunday,Dilshad Garden,Red Line,63,63,0,G-06,1,1,Rainy
2026-01-22,19:45,Thursday,Rajouri Garden,Blue Line,286,224,62,G-04,1,0,Foggy
2026-01-30,12:45,Friday,Rithala,Red Line,126,123,3,G-02,0,0,Foggy
2026-01-22,10:45,Thursday,Vishwavidyalaya,Yellow Line,520,373,147,G-02,1,0,Smoggy
2026-02-16,10:15,Monday,Chhattarpur,Yellow Line,231,206,25,G-05,1,0,Clear
2026-01-17,14:15,Saturday,Jama Masjid,Violet Line,41,47,-6,G-01,0,0,Rainy
2026-01-04,23:30,Sunday,Nangloi,Green Line,27,21,6,G-04,0,1,Cloudy
2026-02-15,07:00,Sunday,Raja Nahar Singh,Violet Line,29,29,0,G-05,0,1,Foggy
2026-01-14,13:30,Wednesday,Nehru Place,Violet Line,199,156,43,G-05,0,0,Foggy
2026-01-21,20:15,Wednesday,Ramesh Nagar,Blue Line,92,85,7,G-02,0,0,Clear
2026-01-21,13:30,Wednesday,Kailash Colony,Violet Line,102,86,16,G-04,0,0,Foggy
2026-01-14,22:30,Wednesday,Nangloi Railway Station,Green Line,50,55,-5,G-04,0,0,Foggy
2026-01-14,22:15,Wednesday,Civil Lines,Yellow Line,38,35,3,G-06,0,0,Foggy
2026-02-16,05:30,Monday,Punjabi Bagh,Green Line,19,21,-2,G-02,0,0,Smoggy
2026-01-19,07:15,Monday,Peeragarhi,Green Line,99,87,12,G-06,0,0,Foggy
2026-01-27,06:45,Tuesday,Paschim Vihar West,Green Line,45,33,12,G-06,0,0,Foggy
2026-01-13,08:45,Tuesday,Jangpura,Violet Line,116,109,7,G-06,1,0,Foggy
2026-01-06,17:15,Tuesday,Chhattarpur,Yellow Line,146,139,7,G-05,1,0,Foggy
2026-01-22,12:45,Thursday,Shastri Park,Red Line,142,156,-14,G-03,0,0,Cloudy
2026-02-04,19:15,Wednesday,Khan Market,Violet Line,108,100,8,G-02,1,0,Foggy
2026-02-13,23:30,Friday,Rohini West,Red Line,27,31,-4,G-07,0,0,Foggy
2026-01-10,18:30,Saturday,Keshav Puram,Red Line,236,205,31,G-01,1,0,Clear
2026-02-16,17:30,Monday,Mandi House,Blue Line,553,630,-77,G-03,1,0,Smoggy
2026-02-10,12:00,Tuesday,Ashok Park Main,Green Line,94,97,-3,G-01,0,0,Foggy
2026-02-18,07:00,Wednesday,Dilshad Garden,Red Line,215,195,20,G-02,0,0,Rainy
2026-01-28,16:15,Wednesday,Rajouri Garden,Blue Line,198,183,15,G-01,0,0,Clear
2026-01-22,21:45,Thursday,Shivaji Park,Green Line,15,19,-4,G-04,0,0,Cloudy
2026-02-18,09:15,Wednesday,MG Road,Yellow Line,146,184,-38,G-06,1,0,Clear
2026-02-07,06:15,Saturday,Malviya Nagar,Yellow Line,75,63,12,G-05,0,0,Clear
2026-01-20,14:45,Tuesday,INA,Yellow Line,57,52,5,G-06,0,0,Cloudy
2026-02-01,23:15,Sunday,Rajendra Place,Blue Line,38,25,13,G-06,0,1,Clear
2026-01-23,06:00,Friday,JLN Stadium,Violet Line,47,31,16,G-01,0,0,Foggy
2026-01-06,07:30,Tuesday,Brigadier Hoshiar Singh,Green Line,75,91,-16,G-02,0,0,Foggy
2026-01-23,06:15,Friday,Jama Masjid,Violet Line,37,31,6,G-06,0,0,Cloudy
2026-02-02,05:15,Monday,Sector 28,Violet Line,57,49,8,G-02,0,0,Clear
2026-01-27,11:45,Tuesday,Dwarka Sector 21,Blue Line,211,144,67,G-06,0,0,Foggy
2026-02-17,17:30,Tuesday,Vidhan Sabha,Yellow Line,182,165,17,G-04,1,0,Foggy
2026-02-24,19:00,Tuesday,Jangpura,Violet Line,210,191,19,G-03,1,0,Clear
2026-02-03,18:30,Tuesday,Dwarka Sector 21,Blue Line,347,357,-10,G-04,1,0,Foggy
2026-01-31,10:00,Saturday,Badkhal Mor,Violet Line,157,143,14,G-04,1,0,Cloudy
2026-01-17,05:30,Saturday,Chawri Bazar,Yellow Line,56,51,5,G-01,0,0,Clear
2026-02-05,08:45,Thursday,Jama Masjid,Violet Line,156,158,-2,G-05,1,0,Clear
2026-01-25,18:30,Sunday,Mewala Maharajpur,Violet Line,49,37,12,G-03,1,1,Clear
2026-02-08,13:30,Sunday,Mandi House,Blue Line,75,75,0,G-07,0,1,Foggy
2026-01-13,20:00,Tuesday,Dilshad Garden,Red Line,219,189,30,G-07,0,0,Foggy
2026-02-21,20:30,Saturday,Dwarka,Blue Line,97,87,10,G-01,0,0,Rainy
2026-01-01,16:15,Thursday,Satguru Ram Singh Marg,Green Line,70,84,-14,G-07,0,0,Foggy
2026-02-15,22:00,Sunday,JLN Stadium,Violet Line,24,24,0,G-05,0,1,Foggy
2026-01-06,15:00,Tuesday,Netaji Subhash Place,Red Line,32,35,-3,G-01,0,0,Smoggy
2026-02-07,12:15,Saturday,Seelampur,Red Line,85,83,2,G-03,0,0,Clear
2026-01-24,08:45,Saturday,Janakpuri West,Blue Line,543,471,72,G-04,1,0,Foggy
2026-02-04,10:30,Wednesday,Noida City Centre,Blue Line,434,419,15,G-03,1,0,Clear
2026-01-13,17:00,Tuesday,Arjan Garh,Yellow Line,193,208,-15,G-04,1,0,Cloudy
2026-01-15,16:15,Thursday,Janakpuri West,Blue Line,215,179,36,G-07,0,0,Clear
2026-02-22,19:15,Sunday,Udyog Bhawan,Yellow Line,37,36,1,G-05,1,1,Cloudy
2026-01-17,17:15,Saturday,Paschim Vihar East,Green Line,156,156,0,G-01,1,0,Cloudy
2026-01-08,11:45,Thursday,Escorts Mujesar,Violet Line,82,98,-16,G-05,0,0,Clear
2026-02-17,10:15,Tuesday,Nangloi,Green Line,173,160,13,G-04,1,0,Foggy
2026-02-19,22:00,Thursday,Rohini West,Red Line,58,43,15,G-05,0,0,Clear
2026-01-12,17:30,Monday,Jangpura,Violet Line,123,136,-13,G-07,1,0,Foggy
2026-01-10,13:30,Saturday,Lajpat Nagar,Violet Line,345,312,33,G-01,0,0,Foggy
2026-02-19,05:45,Thursday,Shastri Nagar,Red Line,25,29,-4,G-06,0,0,Foggy
2026-01-20,11:00,Tuesday,Keshav Puram,Red Line,112,124,-12,G-06,0,0,Cloudy
2026-01-10,23:00,Saturday,Maharaja Surajmal Stadium,Green Line,40,42,-2,G-03,0,0,Rainy
2026-01-22,09:00,Thursday,Shastri Park,Red Line,150,121,29,G-05,1,0,Cloudy
2026-02-12,22:00,Thursday,Patel Chowk,Yellow Line,32,20,12,G-05,0,0,Smoggy
2026-02-04,19:30,Wednesday,Badarpur Border,Violet Line,262,238,24,G-07,1,0,Clear
2026-01-30,16:45,Friday,Nangloi,Green Line,108,92,16,G-02,0,0,Foggy
2026-01-12,17:00,Monday,Mundka,Green Line,236,208,28,G-04,1,0,Foggy
2026-01-01,08:00,Thursday,HUDA City Centre,Yellow Line,549,605,-56,G-02,1,0,Cloudy
2026-02-28,08:45,Saturday,Ghitorni,Yellow Line,203,181,22,G-05,1,0,Smoggy
2026-01-18,19:45,Sunday,Badarpur Border,Violet Line,18,18,0,G-06,1,1,Smoggy
2026-02-17,20:30,Tuesday,Chawri Bazar,Yellow Line,82,73,9,G-04,0,0,Smoggy
2026-01-13,11:00,Tuesday,Civil Lines,Yellow Line,168,150,18,G-05,0,0,Cloudy
2026-02-15,10:45,Sunday,Race Course,Yellow Line,32,28,4,G-06,1,1,Clear
2026-02-16,21:15,Monday,Nangloi Railway Station,Green Line,49,40,9,G-01,0,0,Clear
2026-01-18,09:15,Sunday,Dwarka,Blue Line,25,21,4,G-05,1,1,Clear
2026-01-21,17:15,Wednesday,Lajpat Nagar,Violet Line,362,324,38,G-02,1,0,Cloudy
2026-02-21,21:00,Saturday,Ghitorni,Yellow Line,32,34,-2,G-04,0,0,Foggy
2026-01-03,20:45,Saturday,Sector 28,Violet Line,82,68,14,G-06,0,0,Cloudy
2026-02-23,11:00,Monday,Shastri Park,Red Line,92,88,4,G-03,0,0,Clear
2026-02-04,20:30,Wednesday,Keshav Puram,Red Line,130,113,17,G-07,0,0,Smoggy
2026-02-03,13:00,Tuesday,Sikanderpur,Yellow Line,200,197,3,G-06,0,0,Clear
2026-02-16,05:30,Monday,Seelampur,Red Line,21,19,2,G-01,0,0,Foggy
2026-01-20,08:30,Tuesday,Khan Market,Violet Line,233,233,0,G-07,1,0,Cloudy
2026-01-10,16:45,Saturday,Dwarka,Blue Line,103,102,1,G-06,0,0,Clear
2026-02-07,13:00,Saturday,AIIMS,Yellow Line,127,94,33,G-07,0,0,Cloudy
2026-01-15,19:00,Thursday,Sarai,Violet Line,163,173,-10,G-01,1,0,Foggy
2026-01-31,20:45,Saturday,Kashmere Gate,Yellow Line,372,308,64,G-06,0,0,Cloudy
2026-01-09,13:00,Friday,Sarita Vihar,Violet Line,89,70,19,G-03,0,0,Cloudy
2026-02-27,15:45,Friday,Maharaja Surajmal Stadium,Green Line,28,28,0,G-05,0,0,Clear
2026-01-25,08:45,Sunday,Civil Lines,Yellow Line,39,34,5,G-01,1,1,Rainy
2026-02-17,21:00,Tuesday,Rajouri Garden,Blue Line,71,73,-2,G-05,0,0,Clear
2026-01-22,09:15,Thursday,Rohini West,Red Line,171,185,-14,G-07,1,0,Smoggy
2026-02-04,13:00,Wednesday,Uttam Nagar East,Blue Line,150,141,9,G-02,0,0,Clear
2026-01-25,13:15,Sunday,Inderlok,Red Line,31,28,3,G-03,0,1,Foggy
2026-01-26,06:00,Monday,JLN Stadium,Violet Line,43,46,-3,G-06,0,1,Rainy
2026-02-27,13:30,Friday,Escorts Mujesar,Violet Line,91,101,-10,G-07,0,0,Clear
2026-02-14,12:00,Saturday,Shivaji Park,Green Line,113,116,-3,G-02,0,0,Foggy
2026-01-09,13:30,Friday,Udyog Nagar,Green Line,63,55,8,G-03,0,0,Clear
2026-01-10,06:00,Saturday,Kanhaiya Nagar,Red Line,26,19,7,G-03,0,0,Clear
2026-02-13,20:30,Friday,Madipur,Green Line,185,152,33,G-07,0,0,Clear
2026-01-16,11:00,Friday,Kailash Colony,Violet Line,105,85,20,G-04,0,0,Rainy
2026-01-30,23:00,Friday,Adarsh Nagar,Yellow Line,41,41,0,G-04,0,0,Foggy
2026-01-16,17:15,Friday,Shivaji Park,Green Line,238,195,43,G-06,1,0,Cloudy
2026-01-03,16:00,Saturday,IFFCO Chowk,Yellow Line,71,59,12,G-02,0,0,Smoggy
2026-01-28,11:15,Wednesday,Chhattarpur,Yellow Line,49,52,-3,G-01,0,0,Foggy
2026-01-07,16:15,Wednesday,Punjabi Bagh,Green Line,106,107,-1,G-01,0,0,Clear
2026-02-26,09:15,Thursday,Pragati Maidan,Blue Line,44,42,2,G-02,1,1,Clear
2026-02-16,20:15,Monday,Udyog Nagar,Green Line,151,134,17,G-01,0,0,Smoggy
2026-01-14,08:45,Wednesday,Noida City Centre,Blue Line,591,442,149,G-04,1,0,Foggy
2026-02-14,16:30,Saturday,Netaji Subhash Place,Red Line,129,103,26,G-01,0,0,Clear
2026-01-16,11:30,Friday,Seelampur,Red Line,141,155,-14,G-07,0,0,Foggy
2026-02-05,20:00,Thursday,HUDA City Centre,Yellow Line,251,209,42,G-06,0,0,Clear
2026-02-07,22:45,Saturday,Lal Quila,Violet Line,43,46,-3,G-04,0,0,Foggy
2026-02-05,15:45,Thursday,NHPC Chowk,Violet Line,35,29,6,G-04,0,0,Foggy
2026-02-13,15:45,Friday,Madipur,Green Line,55,50,5,G-04,0,0,Cloudy
2026-02-19,23:00,Thursday,Nehru Place,Violet Line,69,80,-11,G-04,0,0,Foggy
2026-02-02,08:15,Monday,Rajendra Place,Blue Line,135,100,35,G-07,1,0,Cloudy
2026-02-21,18:30,Saturday,Saket,Yellow Line,133,126,7,G-02,1,0,Clear
2026-02-10,19:30,Tuesday,Model Town,Yellow Line,194,127,67,G-07,1,0,Smoggy
2026-01-22,13:45,Thursday,Pragati Maidan,Blue Line,62,62,0,G-06,0,0,Foggy
2026-01-30,10:30,Friday,Kashmere Gate,Yellow Line,572,612,-40,G-01,1,0,Foggy
2026-01-30,20:30,Friday,Netaji Subhash Place,Red Line,99,113,-14,G-05,0,0,Cloudy
2026-01-29,15:00,Thursday,Rithala,Red Line,49,44,5,G-06,0,0,Rainy
2026-01-03,11:45,Saturday,Qutab Minar,Yellow Line,69,84,-15,G-02,0,0,Cloudy
2026-01-16,12:45,Friday,Pragati Maidan,Blue Line,69,74,-5,G-02,0,0,Cloudy
2026-02-06,17:30,Friday,Neelam Chowk Ajronda,Violet Line,200,183,17,G-04,1,0,Foggy
2026-02-25,06:30,Wednesday,Pitampura,Red Line,29,28,1,G-02,0,0,Clear
2026-01-04,08:45,Sunday,Sultanpur,Yellow Line,43,52,-9,G-02,1,1,Foggy
2026-01-09,05:45,Friday,Dwarka,Blue Line,38,37,1,G-07,0,0,Rainy
2026-01-19,10:00,Monday,Jor Bagh,Yellow Line,182,154,28,G-07,1,0,Clear
2026-01-10,21:15,Saturday,Jasola Apollo,Violet Line,37,29,8,G-06,0,0,Cloudy
2026-02-19,15:30,Thursday,Sarita Vihar,Violet Line,39,32,7,G-03,0,0,Foggy
2026-02-01,18:30,Sunday,Rajouri Garden,Blue Line,84,87,-3,G-01,1,1,Smoggy
2026-02-05,14:45,Thursday,Model Town,Yellow Line,51,37,14,G-03,0,0,Cloudy
2026-02-14,09:15,Saturday,Nangloi,Green Line,144,106,38,G-07,1,0,Cloudy
2026-01-19,09:15,Monday,Rajouri Garden,Blue Line,617,560,57,G-02,1,0,Clear
2026-02-21,07:45,Saturday,Badarpur Border,Violet Line,78,81,-3,G-03,0,0,Foggy
2026-01-16,18:45,Friday,Civil Lines,Yellow Line,285,197,88,G-03,1,0,Foggy
2026-01-24,11:15,Saturday,Ashok Park Main,Green Line,127,111,16,G-02,0,0,Rainy
2026-02-22,16:00,Sunday,Pitampura,Red Line,20,19,1,G-03,0,1,Foggy
2026-01-14,16:00,Wednesday,Udyog Bhawan,Yellow Line,101,111,-10,G-06,0,0,Foggy
2026-01-07,09:30,Wednesday,Noida Sector 16,Blue Line,115,124,-9,G-05,1,0,Cloudy
2026-02-06,20:00,Friday,Model Town,Yellow Line,92,100,-8,G-05,0,0,Cloudy
2026-01-07,09:00,Wednesday,Dwarka Sector 21,Blue Line,486,442,44,G-01,1,0,Cloudy
2026-01-15,23:00,Thursday,Guru Dronacharya,Yellow Line,37,36,1,G-05,0,0,Clear
2026-01-09,19:30,Friday,Kashmere Gate,Yellow Line,708,1072,-364,G-04,1,0,Foggy
2026-01-09,21:15,Friday,Tughlakabad,Violet Line,23,21,2,G-06,0,0,Cloudy
2026-02-21,20:45,Saturday,INA,Yellow Line,80,107,-27,G-06,0,0,Foggy
2026-01-24,08:00,Saturday,Malviya Nagar,Yellow Line,132,156,-24,G-07,1,0,Foggy
2026-01-22,13:45,Thursday,Ghitorni,Yellow Line,83,78,5,G-06,0,0,Rainy
2026-01-19,12:30,Monday,IFFCO Chowk,Yellow Line,124,136,-12,G-02,0,0,Smoggy
2026-02-01,12:45,Sunday,Noida City Centre,Blue Line,94,88,6,G-07,0,1,Foggy
2026-02-02,19:15,Monday,Ghitorni,Yellow Line,259,263,-4,G-02,1,0,Clear
2026-01-12,09:45,Monday,Satguru Ram Singh Marg,Green Line,298,218,80,G-05,1,0,Foggy
2026-02-13,13:00,Friday,Badarpur Border,Violet Line,102,102,0,G-02,0,0,Rainy
2026-01-29,10:15,Thursday,Rajiv Chowk,Blue Line,516,641,-125,G-01,1,0,Smoggy
2026-01-16,18:45,Friday,Moolchand,Violet Line,221,190,31,G-06,1,0,Rainy
2026-02-04,22:15,Wednesday,Badarpur Border,Violet Line,39,34,5,G-04,0,0,Clear
2026-01-27,10:00,Tuesday,Kailash Colony,Violet Line,107,100,7,G-07,1,0,Clear
2026-02-27,15:45,Friday,Model Town,Yellow Line,54,39,15,G-03,0,0,Clear
2026-02-19,18:00,Thursday,Kirti Nagar,Blue Line,150,181,-31,G-06,1,0,Cloudy
2026-02-06,21:45,Friday,Moti Nagar,Blue Line,49,50,-1,G-07,0,0,Clear
2026-01-22,13:30,Thursday,Paschim Vihar West,Green Line,103,78,25,G-06,0,0,Foggy
2026-01-14,11:00,Wednesday,Qutab Minar,Yellow Line,65,67,-2,G-04,0,0,Rainy
2026-02-07,16:15,Saturday,Rohini East,Red Line,60,63,-3,G-05,0,0,Smoggy
2026-02-21,12:00,Saturday,Uttam Nagar East,Blue Line,93,89,4,G-04,0,0,Foggy
2026-02-06,07:00,Friday,Udyog Bhawan,Yellow Line,120,112,8,G-04,0,0,Clear
2026-01-14,05:45,Wednesday,Moti Nagar,Blue Line,38,42,-4,G-01,0,0,Smoggy
2026-01-17,18:00,Saturday,Rajiv Chowk,Blue Line,446,487,-41,G-01,1,0,Clear
2026-01-04,07:00,Sunday,Pitampura,Red Line,31,34,-3,G-05,0,1,Foggy
2026-02-25,15:00,Wednesday,Udyog Nagar,Green Line,43,38,5,G-07,0,0,Foggy
2026-02-07,18:45,Saturday,Welcome,Red Line,131,105,26,G-06,1,0,Clear
2026-01-10,17:00,Saturday,Ashok Park Main,Green Line,281,202,79,G-05,1,0,Smoggy
2026-02-05,21:15,Thursday,Brigadier Hoshiar Singh,Green Line,46,49,-3,G-01,0,0,Cloudy
2026-01-22,21:30,Thursday,Badkhal Mor,Violet Line,41,31,10,G-05,0,0,Cloudy
2026-01-17,15:00,Saturday,Rithala,Red Line,48,67,-19,G-05,0,0,Rainy
2026-02-02,17:30,Monday,Sarai,Violet Line,110,103,7,G-02,1,0,Clear
2026-01-02,22:15,Friday,Tughlakabad,Violet Line,47,44,3,G-04,0,0,Clear
