date,time,day,train_id,line,station,coach_number,capacity,passenger_count,occupancy_percent,crowd_level,is_peak_hour,is_holiday,weather
2026-02-15,16:20,Sunday,DMT-B018,Violet Line,Sarita Vihar,4,350,72,20.6,Low,0,1,Clear
2026-01-16,16:25,Friday,DMT-Y013,Blue Line,Rajendra Place,8,350,256,73.2,Medium,0,0,Cloudy
2026-02-19,08:15,Thursday,DMT-V012,Red Line,Shastri Park,7,320,224,70.1,Medium,1,0,Cloudy
2026-02-15,06:50,Sunday,DMT-V006,Green Line,Maharaja Surajmal Stadium,6,300,64,21.4,Low,0,1,Foggy
2026-01-08,11:05,Thursday,DMT-B009,Red Line,Rithala,2,340,192,56.6,Medium,0,0,Cloudy
2026-01-19,21:55,Monday,DMT-Y015,Green Line,Peeragarhi,3,300,51,17.1,Low,0,0,Foggy
2026-01-03,12:35,Saturday,DMT-B014,Green Line,Nangloi,6,320,169,52.9,Medium,0,0,Foggy
2026-01-27,08:25,Tuesday,DMT-G020,Blue Line,Indraprastha,6,300,171,57.2,Medium,1,0,Foggy
2026-02-16,21:05,Monday,DMT-V022,Yellow Line,Chhattarpur,3,300,78,26.1,Low,0,0,Rainy
2026-02-02,05:25,Monday,DMT-V007,Blue Line,Yamuna Bank,2,340,101,29.8,Low,0,0,Foggy
2026-01-15,12:40,Thursday,DMT-R008,Blue Line,Noida Sector 15,6,340,170,50.1,Medium,0,0,Foggy
2026-01-01,05:35,Thursday,DMT-R016,Yellow Line,Race Course,6,340,112,33.2,Low,0,0,Rainy
2026-02-22,07:10,Sunday,DMT-R004,Yellow Line,Vidhan Sabha,2,300,46,15.5,Low,0,1,Foggy
2026-02-11,23:40,Wednesday,DMT-V011,Yellow Line,Samaypur Badli,4,350,87,24.9,Low,0,0,Foggy
2026-01-24,19:25,Saturday,DMT-B003,Blue Line,Ramesh Nagar,4,300,360,120.0,Overcrowded,1,0,Clear
2026-01-22,22:50,Thursday,DMT-V018,Red Line,Kanhaiya Nagar,1,320,42,13.2,Low,0,0,Smoggy
2026-01-24,21:55,Saturday,DMT-V006,Red Line,Netaji Subhash Place,7,350,53,15.4,Low,0,0,Clear
2026-01-07,09:40,Wednesday,DMT-V016,Violet Line,Kailash Colony,1,340,228,67.2,Medium,1,0,Cloudy
2026-02-05,08:05,Thursday,DMT-B019,Violet Line,Neelam Chowk Ajronda,5,340,320,94.3,High,1,0,Smoggy
2026-01-26,20:00,Monday,DMT-V003,Green Line,Nangloi Railway Station,4,320,76,24.0,Low,0,1,Smoggy
2026-01-19,06:50,Monday,DMT-V022,Green Line,Paschim Vihar East,8,320,109,34.2,Low,0,0,Smoggy
2026-02-27,11:20,Friday,DMT-V009,Red Line,Rohini West,1,350,128,36.6,Low,0,0,Smoggy
2026-01-13,21:40,Tuesday,DMT-R023,Green Line,Mundka,1,350,58,16.6,Low,0,0,Foggy
2026-01-06,23:55,Tuesday,DMT-B009,Yellow Line,Adarsh Nagar,5,340,42,12.6,Low,0,0,Foggy
2026-01-06,19:10,Tuesday,DMT-Y014,Blue Line,Noida Sector 16,5,300,219,73.0,Medium,1,0,Foggy
2026-02-19,21:15,Thursday,DMT-R016,Blue Line,Indraprastha,6,300,34,11.6,Low,0,0,Clear
2026-01-11,05:30,Sunday,DMT-G009,Blue Line,Yamuna Bank,8,340,62,18.3,Low,0,1,Smoggy
2026-01-14,10:55,Wednesday,DMT-Y011,Violet Line,Moolchand,7,350,373,106.8,Overcrowded,1,0,Cloudy
2026-02-18,05:15,Wednesday,DMT-R014,Green Line,Udyog Nagar,7,300,58,19.4,Low,0,0,Cloudy
2026-02-04,18:25,Wednesday,DMT-B025,Blue Line,Kirti Nagar,7,350,289,82.6,High,1,0,Cloudy
2026-01-26,08:10,Monday,DMT-B008,Violet Line,Khan Market,5,300,67,22.4,Low,1,1,Cloudy
2026-01-26,14:25,Monday,DMT-G020,Red Line,Dilshad Garden,6,340,74,21.9,Low,0,1,Clear
2026-02-01,05:55,Sunday,DMT-G003,Blue Line,Noida Sector 16,2,340,83,24.6,Low,0,1,Clear
2026-01-23,18:40,Friday,DMT-R002,Yellow Line,Central Secretariat,8,300,299,99.9,High,1,0,Foggy
2026-01-19,16:55,Monday,DMT-R025,Blue Line,Pragati Maidan,8,320,183,57.4,Medium,0,0,Clear
2026-01-19,15:10,Monday,DMT-B004,Violet Line,Khan Market,3,340,40,12.0,Low,0,0,Foggy
2026-01-03,19:50,Saturday,DMT-R015,Red Line,Shahdara,7,300,278,92.9,High,1,0,Smoggy
2026-01-07,23:05,Wednesday,DMT-G024,Blue Line,Noida Sector 15,8,320,60,18.8,Low,0,0,Foggy
2026-02-14,21:15,Saturday,DMT-B011,Green Line,Nangloi,8,300,36,12.3,Low,0,0,Cloudy
2026-02-26,07:55,Thursday,DMT-B021,Violet Line,Bata Chowk,7,320,43,13.7,Low,0,1,Clear
2026-01-19,05:45,Monday,DMT-Y010,Blue Line,Mandi House,6,340,102,30.3,Low,0,0,Cloudy
2026-02-22,13:05,Sunday,DMT-R021,Green Line,Mundka,1,300,57,19.1,Low,0,1,Clear
2026-02-09,19:10,Monday,DMT-V004,Violet Line,Central Secretariat,7,300,218,73.0,Medium,1,0,Foggy
2026-02-13,21:20,Friday,DMT-R010,Green Line,Ashok Park Main,5,300,36,12.1,Low,0,0,Clear
2026-02-20,12:10,Friday,DMT-V022,Yellow Line,Chhattarpur,1,340,108,31.9,Low,0,0,Cloudy
2026-01-07,13:00,Wednesday,DMT-Y020,Violet Line,JLN Stadium,6,350,161,46.0,Low,0,0,Cloudy
2026-02-01,06:30,Sunday,DMT-Y021,Yellow Line,MG Road,2,300,62,20.8,Low,0,1,Smoggy
2026-01-20,19:35,Tuesday,DMT-G004,Yellow Line,Arjan Garh,4,320,384,120.0,Overcrowded,1,0,Cloudy
2026-01-30,13:15,Friday,DMT-B001,Violet Line,JLN Stadium,5,350,188,53.9,Medium,0,0,Cloudy
2026-01-15,09:55,Thursday,DMT-R010,Red Line,Welcome,3,340,408,120.0,Overcrowded,1,0,Clear
2026-01-10,14:55,Saturday,DMT-G016,Blue Line,Barakhamba Road,6,340,74,21.8,Low,0,0,Smoggy
2026-01-06,09:05,Tuesday,DMT-B009,Blue Line,Pragati Maidan,1,320,242,75.8,Medium,1,0,Foggy
2026-01-18,23:25,Sunday,DMT-R010,Blue Line,Pragati Maidan,6,300,47,15.8,Low,0,1,Clear
2026-01-17,23:40,Saturday,DMT-V008,Red Line,Kanhaiya Nagar,4,320,88,27.5,Low,0,0,Smoggy
2026-02-21,14:50,Saturday,DMT-V002,Blue Line,Kirti Nagar,7,340,84,24.9,Low,0,0,Rainy
2026-02-20,10:05,Friday,DMT-G004,Blue Line,Rajendra Place,8,350,369,105.7,Overcrowded,1,0,Clear
2026-02-14,06:05,Saturday,DMT-R014,Blue Line,Uttam Nagar East,2,320,108,33.8,Low,0,0,Rainy
2026-01-09,21:20,Friday,DMT-R006,Violet Line,Moolchand,5,340,56,16.7,Low,0,0,Clear
2026-01-03,20:05,Saturday,DMT-R001,Blue Line,Uttam Nagar East,8,320,133,41.6,Low,0,0,Rainy
2026-01-20,14:50,Tuesday,DMT-R019,Green Line,Nangloi,5,300,82,27.4,Low,0,0,Clear
2026-02-01,10:20,Sunday,DMT-R023,Red Line,Pratap Nagar,5,350,66,19.1,Low,1,1,Cloudy
2026-02-26,16:40,Thursday,DMT-Y016,Green Line,Madipur,6,340,34,10.0,Low,0,1,Foggy
2026-01-20,15:00,Tuesday,DMT-Y024,Yellow Line,Chawri Bazar,5,350,49,14.2,Low,0,0,Cloudy
2026-01-15,16:40,Thursday,DMT-B011,Green Line,Satguru Ram Singh Marg,7,350,236,67.5,Medium,0,0,Rainy
2026-01-08,22:00,Thursday,DMT-R008,Yellow Line,Adarsh Nagar,1,340,53,15.6,Low,0,0,Cloudy
2026-01-14,09:45,Wednesday,DMT-G019,Yellow Line,AIIMS,8,340,291,85.8,High,1,0,Clear
2026-02-12,06:05,Thursday,DMT-G017,Yellow Line,HUDA City Centre,4,320,67,21.0,Low,0,0,Rainy
2026-01-06,18:20,Tuesday,DMT-R011,Blue Line,Noida City Centre,7,340,223,65.7,Medium,1,0,Smoggy
2026-02-24,11:45,Tuesday,DMT-V002,Red Line,Pulbangash,3,320,204,63.9,Medium,0,0,Cloudy
2026-02-13,13:55,Friday,DMT-Y015,Violet Line,Harkesh Nagar Okhla,2,350,157,44.9,Low,0,0,Smoggy
2026-02-11,21:55,Wednesday,DMT-R001,Blue Line,Kirti Nagar,4,340,59,17.5,Low,0,0,Clear
2026-02-23,09:50,Monday,DMT-Y016,Violet Line,Raja Nahar Singh,7,340,331,97.4,High,1,0,Smoggy
2026-01-10,14:00,Saturday,DMT-B025,Yellow Line,Green Park,2,340,40,11.9,Low,0,0,Foggy
2026-01-19,17:25,Monday,DMT-G003,Green Line,Nangloi Railway Station,5,340,203,60.0,Medium,1,0,Foggy
2026-02-26,06:25,Thursday,DMT-R015,Violet Line,Nehru Place,2,350,80,23.0,Low,0,1,Cloudy
2026-02-06,15:50,Friday,DMT-Y019,Red Line,Welcome,4,350,111,31.7,Low,0,0,Clear
2026-01-13,13:10,Tuesday,DMT-V023,Yellow Line,Guru Dronacharya,7,320,188,58.8,Medium,0,0,Smoggy
2026-02-11,12:25,Wednesday,DMT-V007,Yellow Line,Chandni Chowk,7,320,106,33.2,Low,0,0,Cloudy
2026-01-30,20:35,Friday,DMT-G001,Red Line,Dilshad Garden,5,350,182,52.1,Medium,0,0,Cloudy
2026-01-10,05:45,Saturday,DMT-R001,Green Line,Nangloi Railway Station,7,340,86,25.5,Low,0,0,Rainy
2026-02-23,18:20,Monday,DMT-V013,Red Line,Netaji Subhash Place,7,320,297,92.9,High,1,0,Smoggy
2026-01-04,22:50,Sunday,DMT-B004,Green Line,Ashok Park Main,8,350,44,12.7,Low,0,1,Rainy
2026-02-01,10:50,Sunday,DMT-V023,Red Line,Shastri Nagar,7,350,52,15.0,Low,1,1,Smoggy
2026-01-13,22:55,Tuesday,DMT-Y022,Yellow Line,Sultanpur,5,340,72,21.4,Low,0,0,Rainy
2026-01-15,05:15,Thursday,DMT-R012,Red Line,Netaji Subhash Place,6,300,39,13.2,Low,0,0,Foggy
2026-02-09,07:55,Monday,DMT-R010,Violet Line,ITO,3,300,134,44.7,Low,0,0,Clear
2026-01-14,18:15,Wednesday,DMT-R010,Blue Line,Janakpuri West,4,350,347,99.2,High,1,0,Clear
2026-01-07,08:40,Wednesday,DMT-V025,Red Line,Shastri Park,4,340,269,79.3,Medium,1,0,Cloudy
2026-02-28,17:45,Saturday,DMT-V020,Violet Line,Escorts Mujesar,6,350,420,120.0,Overcrowded,1,0,Smoggy
2026-01-04,09:00,Sunday,DMT-Y012,Yellow Line,Chawri Bazar,4,340,71,21.1,Low,1,1,Smoggy
2026-01-17,13:00,Saturday,DMT-V010,Green Line,Brigadier Hoshiar Singh,4,340,142,42.0,Low,0,0,Rainy
2026-02-08,06:10,Sunday,DMT-V009,Green Line,Punjabi Bagh,8,320,69,21.7,Low,0,1,Foggy
2026-01-04,09:35,Sunday,DMT-Y020,Green Line,Ashok Park Main,3,350,57,16.3,Low,1,1,Cloudy
2026-01-11,05:20,Sunday,DMT-R020,Blue Line,Moti Nagar,2,300,30,10.3,Low,0,1,Foggy
2026-02-04,06:55,Wednesday,DMT-B006,Red Line,Seelampur,5,350,73,20.9,Low,0,0,Clear
2026-01-05,15:40,Monday,DMT-R021,Yellow Line,New Delhi,6,350,47,13.6,Low,0,0,Smoggy
2026-02-22,14:15,Sunday,DMT-V003,Red Line,Netaji Subhash Place,2,340,53,15.6,Low,0,1,Foggy
2026-01-20,18:20,Tuesday,DMT-Y021,Violet Line,Nehru Place,4,350,381,108.9,Overcrowded,1,0,Cloudy
2026-02-12,13:15,Thursday,DMT-R004,Green Line,Udyog Nagar,1,300,115,38.4,Low,0,0,Rainy
2026-01-14,07:35,Wednesday,DMT-Y012,Blue Line,Barakhamba Road,8,340,219,64.6,Medium,0,0,Cloudy
2026-02-13,11:10,Friday,DMT-V005,Blue Line,Noida City Centre,3,340,108,31.8,Low,0,0,Clear
2026-02-18,23:50,Wednesday,DMT-R014,Blue Line,Janakpuri West,7,340,42,12.6,Low,0,0,Cloudy
2026-02-17,21:25,Tuesday,DMT-B001,Yellow Line,Civil Lines,1,350,53,15.4,Low,0,0,Clear
2026-02-06,16:15,Friday,DMT-V001,Green Line,Paschim Vihar East,3,320,211,66.1,Medium,0,0,Clear
2026-01-07,12:15,Wednesday,DMT-R017,Green Line,Shivaji Park,8,350,226,64.6,Medium,0,0,Rainy
2026-02-23,10:15,Monday,DMT-V015,Green Line,Paschim Vihar West,6,300,360,120.0,Overcrowded,1,0,Foggy
2026-01-14,13:40,Wednesday,DMT-R017,Green Line,Nangloi,7,300,244,81.5,High,0,0,Clear
2026-01-19,15:10,Monday,DMT-R014,Yellow Line,Udyog Bhawan,4,350,49,14.2,Low,0,0,Cloudy
2026-02-24,16:40,Tuesday,DMT-R005,Yellow Line,Adarsh Nagar,8,300,234,78.2,Medium,0,0,Clear
2026-02-15,20:00,Sunday,DMT-Y014,Blue Line,Dwarka Sector 8,8,320,63,19.9,Low,0,1,Foggy
2026-01-06,07:25,Tuesday,DMT-R019,Blue Line,Barakhamba Road,1,300,168,56.3,Medium,0,0,Foggy
2026-01-08,11:45,Thursday,DMT-R012,Green Line,Shivaji Park,6,340,219,64.7,Medium,0,0,Clear
2026-01-04,05:20,Sunday,DMT-Y006,Blue Line,Rajiv Chowk,5,320,64,20.1,Low,0,1,Foggy
2026-01-21,07:20,Wednesday,DMT-R008,Violet Line,NHPC Chowk,2,320,212,66.5,Medium,0,0,Cloudy
2026-01-22,17:35,Thursday,DMT-B019,Yellow Line,Adarsh Nagar,7,320,327,102.5,Overcrowded,1,0,Cloudy
2026-01-16,21:25,Friday,DMT-B021,Yellow Line,Azadpur,7,350,61,17.7,Low,0,0,Cloudy
2026-01-23,07:35,Friday,DMT-B006,Red Line,Pulbangash,1,320,200,62.8,Medium,0,0,Clear
2026-02-21,21:50,Saturday,DMT-V013,Blue Line,Karol Bagh,6,300,58,19.5,Low,0,0,Foggy
2026-02-11,08:35,Wednesday,DMT-B001,Red Line,Pitampura,7,340,236,69.6,Medium,1,0,Cloudy
2026-02-03,23:25,Tuesday,DMT-V022,Violet Line,Moolchand,7,300,53,17.7,Low,0,0,Rainy
2026-02-20,13:10,Friday,DMT-G017,Yellow Line,Jor Bagh,8,350,281,80.5,High,0,0,Rainy
2026-01-11,11:40,Sunday,DMT-B019,Red Line,Rohini West,8,340,53,15.9,Low,0,1,Clear
2026-02-04,09:40,Wednesday,DMT-B012,Red Line,Pulbangash,6,350,314,89.8,High,1,0,Foggy
2026-01-08,08:15,Thursday,DMT-B023,Yellow Line,Chawri Bazar,5,350,420,120.0,Overcrowded,1,0,Rainy
2026-01-18,21:25,Sunday,DMT-V013,Yellow Line,Malviya Nagar,6,340,68,20.3,Low,0,1,Clear
2026-02-19,18:00,Thursday,DMT-Y001,Yellow Line,Jor Bagh,2,300,168,56.0,Medium,1,0,Clear
2026-01-06,21:25,Tuesday,DMT-B024,Blue Line,Noida Sector 15,7,340,62,18.5,Low,0,0,Rainy
2026-02-13,17:25,Friday,DMT-G002,Blue Line,Dwarka,5,320,363,113.7,Overcrowded,1,0,Rainy
2026-01-27,15:40,Tuesday,DMT-Y004,Yellow Line,Samaypur Badli,1,340,121,35.8,Low,0,0,Rainy
2026-01-19,08:00,Monday,DMT-B008,Green Line,Satguru Ram Singh Marg,8,350,259,74.3,Medium,1,0,Clear
2026-02-22,13:20,Sunday,DMT-B017,Violet Line,Govindpuri,5,340,35,10.4,Low,0,1,Clear
2026-01-15,16:35,Thursday,DMT-B025,Blue Line,Rajendra Place,1,350,177,50.7,Medium,0,0,Foggy
2026-01-02,19:15,Friday,DMT-B003,Violet Line,Lal Quila,2,350,420,120.0,Overcrowded,1,0,Clear
2026-02-10,21:15,Tuesday,DMT-R013,Yellow Line,Jor Bagh,5,320,40,12.6,Low,0,0,Clear
2026-01-27,16:55,Tuesday,DMT-V001,Red Line,Dilshad Garden,8,340,300,88.5,High,0,0,Cloudy
2026-01-23,13:40,Friday,DMT-R022,Yellow Line,Kashmere Gate,1,300,183,61.1,Medium,0,0,Foggy
2026-01-21,06:45,Wednesday,DMT-R003,Red Line,Rohini East,3,350,77,22.3,Low,0,0,Foggy
2026-02-12,10:30,Thursday,DMT-R001,Green Line,Maharaja Surajmal Stadium,2,300,329,109.8,Overcrowded,1,0,Clear
2026-02-03,08:00,Tuesday,DMT-R018,Green Line,Ashok Park Main,5,300,360,120.0,Overcrowded,1,0,Foggy
2026-02-28,20:35,Saturday,DMT-R022,Violet Line,Mohan Estate,2,340,183,53.8,Medium,0,0,Clear
2026-01-13,14:25,Tuesday,DMT-B023,Blue Line,Dwarka,6,320,49,15.6,Low,0,0,Clear
2026-02-03,11:40,Tuesday,DMT-R003,Blue Line,Noida Sector 16,7,300,194,64.9,Medium,0,0,Cloudy
2026-01-07,09:15,Wednesday,DMT-V025,Red Line,Shastri Park,7,340,255,75.2,Medium,1,0,Cloudy
2026-01-02,19:40,Friday,DMT-R003,Green Line,Paschim Vihar West,8,350,303,86.8,High,1,0,Clear
2026-01-29,15:20,Thursday,DMT-R015,Blue Line,Mandi House,6,350,29,8.3,Low,0,0,Clear
2026-01-18,09:25,Sunday,DMT-V014,Blue Line,Indraprastha,6,340,68,20.2,Low,1,1,Cloudy
2026-02-24,18:55,Tuesday,DMT-G021,Green Line,Satguru Ram Singh Marg,8,340,408,120.0,Overcrowded,1,0,Smoggy
2026-02-08,19:05,Sunday,DMT-V015,Violet Line,Sector 28,7,350,69,19.9,Low,1,1,Cloudy
2026-01-17,08:25,Saturday,DMT-B003,Blue Line,Karol Bagh,8,340,190,56.1,Medium,1,0,Clear
2026-01-09,18:45,Friday,DMT-Y003,Green Line,Udyog Nagar,3,320,323,101.0,Overcrowded,1,0,Smoggy
2026-02-15,10:20,Sunday,DMT-B023,Red Line,Pratap Nagar,6,350,58,16.8,Low,1,1,Rainy
2026-01-13,13:25,Tuesday,DMT-V020,Violet Line,Janpath,1,300,151,50.4,Medium,0,0,Cloudy
2026-02-02,20:00,Monday,DMT-Y007,Green Line,Shivaji Park,7,350,149,42.7,Low,0,0,Clear
2026-01-24,14:30,Saturday,DMT-V012,Violet Line,Mewala Maharajpur,6,320,60,19.0,Low,0,0,Foggy
2026-02-08,18:30,Sunday,DMT-G002,Green Line,Nangloi Railway Station,3,300,74,25.0,Low,1,1,Foggy
2026-01-25,06:40,Sunday,DMT-R012,Red Line,Kohat Enclave,7,340,37,11.1,Low,0,1,Clear
2026-02-23,09:35,Monday,DMT-B017,Green Line,Kirti Nagar,4,300,337,112.6,Overcrowded,1,0,Cloudy
2026-01-07,19:45,Wednesday,DMT-B016,Green Line,Ashok Park Main,2,350,420,120.0,Overcrowded,1,0,Clear
2026-02-22,22:30,Sunday,DMT-G013,Yellow Line,Jahangirpuri,1,300,68,22.9,Low,0,1,Rainy
2026-02-27,11:55,Friday,DMT-R010,Violet Line,Sarai,5,350,161,46.1,Low,0,0,Rainy
2026-01-06,16:20,Tuesday,DMT-Y021,Violet Line,Govindpuri,7,340,221,65.2,Medium,0,0,Foggy
2026-02-22,23:45,Sunday,DMT-R007,Red Line,Kanhaiya Nagar,2,340,58,17.3,Low,0,1,Foggy
2026-01-23,12:20,Friday,DMT-V007,Red Line,Rohini West,7,340,163,48.0,Low,0,0,Foggy
2026-02-22,05:45,Sunday,DMT-B010,Violet Line,JLN Stadium,1,300,74,24.7,Low,0,1,Foggy
2026-01-22,22:20,Thursday,DMT-V013,Blue Line,Kirti Nagar,5,340,51,15.2,Low,0,0,Rainy
2026-02-05,15:25,Thursday,DMT-Y010,Red Line,Rohini West,1,300,35,11.9,Low,0,0,Cloudy
2026-01-15,13:35,Thursday,DMT-V007,Red Line,Pulbangash,8,300,147,49.2,Low,0,0,Cloudy
2026-01-13,20:55,Tuesday,DMT-G006,Yellow Line,Saket,8,320,173,54.3,Medium,0,0,Foggy
2026-01-10,19:05,Saturday,DMT-Y019,Red Line,Dilshad Garden,4,340,408,120.0,Overcrowded,1,0,Foggy
2026-02-03,11:00,Tuesday,DMT-R008,Green Line,Madipur,8,350,211,60.4,Medium,0,0,Foggy
2026-02-18,11:10,Wednesday,DMT-R012,Green Line,Kirti Nagar,2,300,166,55.5,Medium,0,0,Cloudy
2026-01-25,10:55,Sunday,DMT-V019,Green Line,Udyog Nagar,7,340,40,11.9,Low,1,1,Clear
2026-01-09,22:50,Friday,DMT-G018,Green Line,Paschim Vihar East,3,320,25,8.1,Low,0,0,Foggy
2026-02-19,17:40,Thursday,DMT-R020,Blue Line,Rajouri Garden,4,320,193,60.6,Medium,1,0,Cloudy
2026-02-02,06:20,Monday,DMT-G020,Green Line,Rajdhani Park,6,350,96,27.4,Low,0,0,Foggy
2026-01-14,18:00,Wednesday,DMT-B018,Green Line,Paschim Vihar West,8,320,224,70.2,Medium,1,0,Clear
2026-01-26,11:50,Monday,DMT-Y018,Red Line,Shastri Nagar,8,300,42,14.3,Low,0,1,Foggy
2026-02-14,12:10,Saturday,DMT-Y015,Violet Line,Kashmere Gate,6,350,160,45.8,Low,0,0,Cloudy
2026-02-05,18:45,Thursday,DMT-V022,Yellow Line,Civil Lines,6,320,384,120.0,Overcrowded,1,0,Clear
2026-01-09,05:55,Friday,DMT-G019,Blue Line,Dwarka Sector 21,1,350,74,21.2,Low,0,0,Rainy
2026-02-02,15:00,Monday,DMT-Y019,Violet Line,Jangpura,4,350,108,30.9,Low,0,0,Clear
2026-01-11,07:15,Sunday,DMT-Y001,Green Line,Punjabi Bagh,7,350,63,18.0,Low,0,1,Rainy
2026-02-26,20:25,Thursday,DMT-G011,Red Line,Keshav Puram,2,340,72,21.3,Low,0,1,Clear
2026-01-24,21:35,Saturday,DMT-Y007,Green Line,Ashok Park Main,3,300,62,20.9,Low,0,0,Clear
2026-02-23,11:20,Monday,DMT-B001,Green Line,Shivaji Park,1,350,178,51.0,Medium,0,0,Clear
2026-01-23,15:10,Friday,DMT-R006,Red Line,Rithala,3,340,36,10.6,Low,0,0,Clear
2026-02-22,09:05,Sunday,DMT-Y015,Violet Line,Jama Masjid,7,300,31,10.4,Low,1,1,Clear
2026-01-04,13:45,Sunday,DMT-B018,Green Line,Shivaji Park,5,320,53,16.6,Low,0,1,Foggy
2026-01-13,10:00,Tuesday,DMT-G019,Violet Line,Delhi Gate,2,350,319,91.2,High,1,0,Rainy
2026-02-24,20:55,Tuesday,DMT-G008,Green Line,Paschim Vihar East,5,340,114,33.8,Low,0,0,Clear
2026-01-10,17:20,Saturday,DMT-V006,Green Line,Kirti Nagar,6,350,309,88.4,High,1,0,Smoggy
2026-01-03,15:25,Saturday,DMT-V004,Violet Line,Sarita Vihar,2,350,125,35.8,Low,0,0,Foggy
2026-01-15,05:55,Thursday,DMT-B013,Blue Line,Moti Nagar,6,350,78,22.4,Low,0,0,Foggy
2026-02-06,19:35,Friday,DMT-R021,Green Line,Paschim Vihar West,6,300,196,65.4,Medium,1,0,Clear
2026-01-11,05:45,Sunday,DMT-V025,Violet Line,ITO,2,300,60,20.1,Low,0,1,Clear
2026-01-24,18:50,Saturday,DMT-B008,Yellow Line,GTB Nagar,8,320,321,100.6,Overcrowded,1,0,Foggy
2026-01-11,08:45,Sunday,DMT-Y009,Green Line,Rajdhani Park,8,350,73,21.1,Low,1,1,Clear
2026-02-07,11:35,Saturday,DMT-B025,Violet Line,Jama Masjid,1,300,151,50.5,Medium,0,0,Foggy
2026-02-12,12:50,Thursday,DMT-Y012,Yellow Line,Chhattarpur,4,320,126,39.6,Low,0,0,Foggy
2026-01-15,09:10,Thursday,DMT-R002,Blue Line,Dwarka,2,300,360,120.0,Overcrowded,1,0,Foggy
2026-01-28,07:05,Wednesday,DMT-Y003,Green Line,Ashok Park Main,7,340,147,43.4,Low,0,0,Clear
2026-02-09,09:05,Monday,DMT-R014,Yellow Line,Vishwavidyalaya,7,300,271,90.6,High,1,0,Foggy
2026-01-10,14:10,Saturday,DMT-B006,Violet Line,Sector 28,7,320,77,24.1,Low,0,0,Cloudy
2026-02-28,18:45,Saturday,DMT-Y001,Red Line,Pulbangash,1,340,312,91.9,High,1,0,Smoggy
2026-01-10,20:05,Saturday,DMT-V002,Yellow Line,Adarsh Nagar,4,300,107,36.0,Low,0,0,Foggy
2026-01-19,12:25,Monday,DMT-B024,Blue Line,Noida City Centre,5,320,103,32.4,Low,0,0,Clear
2026-01-27,13:55,Tuesday,DMT-B025,Red Line,Kanhaiya Nagar,4,350,176,50.4,Medium,0,0,Foggy
2026-02-18,10:10,Wednesday,DMT-B017,Red Line,Kohat Enclave,1,320,148,46.4,Low,1,0,Cloudy
2026-02-25,22:40,Wednesday,DMT-V017,Red Line,Pitampura,4,340,106,31.3,Low,0,0,Clear
2026-01-22,13:25,Thursday,DMT-G025,Blue Line,Karol Bagh,6,320,208,65.3,Medium,0,0,Clear
2026-01-02,07:05,Friday,DMT-R009,Green Line,Paschim Vihar West,2,300,169,56.4,Medium,0,0,Cloudy
2026-01-05,15:25,Monday,DMT-Y009,Blue Line,Ramesh Nagar,1,350,40,11.7,Low,0,0,Smoggy
2026-01-07,10:05,Wednesday,DMT-V024,Blue Line,Noida City Centre,1,320,384,120.0,Overcrowded,1,0,Clear
2026-01-31,15:15,Saturday,DMT-B013,Violet Line,Janpath,2,300,43,14.5,Low,0,0,Clear
2026-01-26,12:25,Monday,DMT-Y021,Yellow Line,Race Course,1,320,52,16.4,Low,0,1,Rainy
2026-01-11,08:55,Sunday,DMT-G018,Violet Line,Mandi House,2,300,48,16.2,Low,1,1,Foggy
2026-01-14,19:25,Wednesday,DMT-Y011,Red Line,Seelampur,3,340,298,87.9,High,1,0,Clear
2026-01-20,21:40,Tuesday,DMT-G009,Violet Line,Lajpat Nagar,4,350,86,24.8,Low,0,0,Smoggy
2026-01-14,23:10,Wednesday,DMT-G017,Yellow Line,Central Secretariat,2,350,37,10.8,Low,0,0,Foggy
2026-01-03,20:15,Saturday,DMT-R017,Red Line,Rithala,5,340,215,63.4,Medium,0,0,Rainy
2026-02-28,10:25,Saturday,DMT-Y022,Green Line,Maharaja Surajmal Stadium,5,340,408,120.0,Overcrowded,1,0,Cloudy
2026-02-16,15:25,Monday,DMT-B011,Yellow Line,Model Town,4,340,98,28.9,Low,0,0,Clear
2026-01-04,18:00,Sunday,DMT-B016,Blue Line,Rajiv Chowk,1,320,71,22.2,Low,1,1,Foggy
2026-02-17,12:20,Tuesday,DMT-V004,Blue Line,Ramesh Nagar,2,300,175,58.5,Medium,0,0,Foggy
2026-01-28,13:00,Wednesday,DMT-V017,Blue Line,Noida Sector 16,7,340,130,38.5,Low,0,0,Foggy
2026-02-03,16:30,Tuesday,DMT-Y023,Green Line,Shivaji Park,5,350,202,58.0,Medium,0,0,Cloudy
2026-01-15,16:05,Thursday,DMT-G023,Blue Line,Barakhamba Road,2,320,158,49.4,Low,0,0,Clear
2026-01-04,21:20,Sunday,DMT-G018,Violet Line,Khan Market,4,300,42,14.1,Low,0,1,Clear
2026-02-25,22:00,Wednesday,DMT-Y007,Green Line,Maharaja Surajmal Stadium,8,320,92,29.0,Low,0,0,Rainy
2026-01-30,08:25,Friday,DMT-Y024,Red Line,Rohini West,4,320,384,120.0,Overcrowded,1,0,Cloudy
2026-02-16,10:35,Monday,DMT-V021,Blue Line,Rajendra Place,1,320,254,79.5,Medium,1,0,Smoggy
2026-01-10,23:25,Saturday,DMT-Y011,Green Line,Nangloi,1,320,49,15.3,Low,0,0,Smoggy
