date,day,hour,station,line,footfall_count,direction,is_peak_hour,is_holiday,weather
2026-02-23,Monday,20,Rohini East,Red Line,192,Down,0,0,Clear
2026-02-10,Tuesday,20,MG Road,Yellow Line,218,Down,0,0,Clear
2026-01-27,Tuesday,8,Dwarka Sector 8,Blue Line,303,Up,1,0,Clear
2026-02-04,Wednesday,5,Dilshad Garden,Red Line,182,Down,0,0,Foggy
2026-01-26,Monday,23,Netaji Subhash Place,Red Line,82,Down,0,1,Cloudy
2026-01-28,Wednesday,9,Neelam Chowk Ajronda,Violet Line,426,Down,1,0,Foggy
2026-02-27,Friday,10,Paschim Vihar East,Green Line,355,Up,1,0,Foggy
2026-01-28,Wednesday,21,Kailash Colony,Violet Line,105,Down,0,0,Cloudy
2026-02-11,Wednesday,12,Shivaji Park,Green Line,357,Up,0,0,Foggy
2026-01-17,Saturday,7,Govindpuri,Violet Line,254,Down,0,0,Foggy
2026-02-23,Monday,20,Pratap Nagar,Red Line,290,Up,0,0,Foggy
2026-01-16,Friday,19,Uttam Nagar East,Blue Line,523,Down,1,0,Cloudy
2026-01-29,Thursday,20,MG Road,Yellow Line,232,Up,0,0,Cloudy
2026-02-16,Monday,7,Saket,Yellow Line,178,Down,0,0,Cloudy
2026-02-08,Sunday,7,Kailash Colony,Violet Line,57,Up,0,1,Cloudy
2026-02-04,Wednesday,11,Indraprastha,Blue Line,194,Up,0,0,Cloudy
2026-01-13,Tuesday,8,Sarita Vihar,Violet Line,253,Up,1,0,Clear
2026-01-22,Thursday,16,JLN Stadium,Violet Line,226,Up,0,0,Clear
2026-01-10,Saturday,15,Malviya Nagar,Yellow Line,119,Down,0,0,Foggy
2026-01-04,Sunday,17,Rithala,Red Line,109,Up,1,1,Cloudy
2026-02-10,Tuesday,16,Jasola Apollo,Violet Line,303,Up,0,0,Smoggy
2026-01-26,Monday,9,Jasola Apollo,Violet Line,113,Down,1,1,Foggy
2026-02-05,Thursday,23,New Delhi,Yellow Line,237,Down,0,0,Foggy
2026-02-26,Thursday,21,Model Town,Yellow Line,54,Down,0,1,Foggy
2026-01-06,Tuesday,13,Sarai,Violet Line,287,Down,0,0,Foggy
2026-02-16,Monday,9,Rajdhani Park,Green Line,586,Down,1,0,Foggy
2026-02-28,Saturday,10,Kalkaji Mandir,Violet Line,428,Down,1,0,Smoggy
2026-01-25,Sunday,6,Sultanpur,Yellow Line,56,Up,0,1,Clear
2026-02-12,Thursday,17,Tis Hazari,Red Line,450,Up,1,0,Rainy
2026-02-05,Thursday,15,Delhi Gate,Violet Line,99,Up,0,0,Smoggy
2026-02-26,Thursday,23,Punjabi Bagh,Green Line,62,Down,0,1,Foggy
2026-01-12,Monday,17,Inderlok,Red Line,537,Down,1,0,Foggy
2026-01-17,Saturday,13,Pitampura,Red Line,141,Up,0,0,Cloudy
2026-01-27,Tuesday,22,Jahangirpuri,Yellow Line,87,Up,0,0,Smoggy
2026-01-31,Saturday,7,Harkesh Nagar Okhla,Violet Line,302,Up,0,0,Clear
2026-02-08,Sunday,10,Nehru Place,Violet Line,213,Down,1,1,Foggy
2026-01-27,Tuesday,20,AIIMS,Yellow Line,147,Up,0,0,Clear
2026-02-25,Wednesday,17,Raja Nahar Singh,Violet Line,565,Up,1,0,Cloudy
2026-01-30,Friday,12,Mohan Estate,Violet Line,176,Up,0,0,Foggy
2026-02-04,Wednesday,7,Udyog Nagar,Green Line,295,Down,0,0,Clear
2026-01-12,Monday,7,Shivaji Park,Green Line,357,Up,0,0,Cloudy
2026-02-14,Saturday,21,Yamuna Bank,Blue Line,179,Up,0,0,Clear
2026-02-02,Monday,15,Guru Dronacharya,Yellow Line,137,Down,0,0,Foggy
2026-02-21,Saturday,21,Punjabi Bagh,Green Line,58,Up,0,0,Cloudy
2026-01-17,Saturday,5,Old Faridabad,Violet Line,59,Up,0,0,Clear
2026-01-22,Thursday,12,Nehru Place,Violet Line,542,Up,0,0,Foggy
2026-01-19,Monday,12,Dwarka Sector 8,Blue Line,172,Up,0,0,Foggy
2026-01-26,Monday,11,Ghitorni,Yellow Line,95,Down,0,1,Cloudy
2026-02-18,Wednesday,16,Civil Lines,Yellow Line,257,Down,0,0,Cloudy
2026-02-14,Saturday,21,Janpath,Violet Line,51,Down,0,0,Clear
2026-02-19,Thursday,7,Chhattarpur,Yellow Line,213,Up,0,0,Cloudy
2026-02-03,Tuesday,12,Raja Nahar Singh,Violet Line,266,Down,0,0,Foggy
2026-02-24,Tuesday,16,Kailash Colony,Violet Line,325,Down,0,0,Foggy
2026-02-24,Tuesday,13,Rohini West,Red Line,333,Up,0,0,Rainy
2026-02-05,Thursday,14,Samaypur Badli,Yellow Line,104,Down,0,0,Cloudy
2026-02-14,Saturday,21,Kashmere Gate,Yellow Line,497,Down,0,0,Cloudy
2026-01-11,Sunday,14,Patel Chowk,Yellow Line,67,Down,0,1,Foggy
2026-01-17,Saturday,22,Chandni Chowk,Yellow Line,252,Up,0,0,Clear
2026-01-01,Thursday,10,Barakhamba Road,Blue Line,356,Up,1,0,Cloudy
2026-02-14,Saturday,8,Tughlakabad,Violet Line,252,Down,1,0,Smoggy
2026-02-02,Monday,17,Vishwavidyalaya,Yellow Line,1293,Down,1,0,Foggy
2026-01-19,Monday,9,Ramesh Nagar,Blue Line,511,Down,1,0,Foggy
2026-01-04,Sunday,18,Sarita Vihar,Violet Line,70,Down,1,1,Clear
2026-02-16,Monday,9,MG Road,Yellow Line,407,Up,1,0,Foggy
2026-02-18,Wednesday,9,Rajiv Chowk,Blue Line,1437,Down,1,0,Cloudy
2026-01-24,Saturday,6,Sultanpur,Yellow Line,112,Down,0,0,Smoggy
2026-01-01,Thursday,14,Nehru Place,Violet Line,282,Down,0,0,Foggy
2026-01-08,Thursday,18,Kohat Enclave,Red Line,249,Up,1,0,Cloudy
2026-01-30,Friday,23,Mohan Estate,Violet Line,60,Up,0,0,Clear
2026-01-18,Sunday,22,Vishwavidyalaya,Yellow Line,221,Up,0,1,Foggy
2026-02-12,Thursday,14,Qutab Minar,Yellow Line,99,Up,0,0,Foggy
2026-01-25,Sunday,5,Dwarka,Blue Line,100,Up,0,1,Cloudy
2026-01-08,Thursday,13,Ashok Park Main,Green Line,230,Down,0,0,Clear
2026-01-08,Thursday,19,IFFCO Chowk,Yellow Line,541,Up,1,0,Clear
2026-01-05,Monday,11,Vishwavidyalaya,Yellow Line,702,Down,0,0,Clear
2026-01-15,Thursday,22,Arjan Garh,Yellow Line,79,Down,0,0,Foggy
2026-02-03,Tuesday,16,Nehru Place,Violet Line,593,Up,0,0,Foggy
2026-02-20,Friday,20,Green Park,Yellow Line,286,Down,0,0,Foggy
2026-01-01,Thursday,6,Brigadier Hoshiar Singh,Green Line,82,Up,0,0,Foggy
2026-02-07,Saturday,16,GTB Nagar,Yellow Line,300,Down,0,0,Cloudy
2026-01-07,Wednesday,14,Chawri Bazar,Yellow Line,44,Up,0,0,Smoggy
2026-02-05,Thursday,21,Guru Dronacharya,Yellow Line,111,Up,0,0,Foggy
2026-02-10,Tuesday,12,Kohat Enclave,Red Line,304,Up,0,0,Foggy
2026-02-28,Saturday,11,Arjan Garh,Yellow Line,348,Down,0,0,Clear
2026-02-03,Tuesday,17,Shivaji Park,Green Line,457,Up,1,0,Clear
2026-02-21,Saturday,18,Harkesh Nagar Okhla,Violet Line,477,Down,1,0,Foggy
2026-01-09,Friday,6,Rohini Sector 18,Yellow Line,106,Up,0,0,Cloudy
2026-02-20,Friday,9,Chawri Bazar,Yellow Line,611,Up,1,0,Foggy
2026-02-26,Thursday,21,Mundka,Green Line,111,Down,0,1,Foggy
2026-02-05,Thursday,20,Peeragarhi,Green Line,277,Down,0,0,Foggy
2026-02-18,Wednesday,21,Old Faridabad,Violet Line,148,Up,0,0,Rainy
2026-02-20,Friday,6,Keshav Puram,Red Line,57,Down,0,0,Clear
2026-01-10,Saturday,10,Udyog Nagar,Green Line,706,Up,1,0,Foggy
2026-02-08,Sunday,20,Punjabi Bagh,Green Line,99,Down,0,1,Cloudy
2026-02-18,Wednesday,8,Noida Sector 16,Blue Line,391,Up,1,0,Clear
2026-01-02,Friday,17,Lal Quila,Violet Line,527,Down,1,0,Foggy
2026-01-31,Saturday,9,Mohan Estate,Violet Line,496,Up,1,0,Rainy
2026-01-04,Sunday,6,Green Park,Yellow Line,114,Up,0,1,Smoggy
2026-02-18,Wednesday,14,Dwarka Sector 8,Blue Line,183,Up,0,0,Clear
2026-02-09,Monday,5,AIIMS,Yellow Line,40,Down,0,0,Rainy
2026-01-10,Saturday,15,Race Course,Yellow Line,87,Down,0,0,Clear
2026-01-20,Tuesday,23,Vidhan Sabha,Yellow Line,104,Down,0,0,Foggy
2026-01-26,Monday,19,Raja Nahar Singh,Violet Line,75,Down,1,1,Cloudy
2026-02-02,Monday,12,GTB Nagar,Yellow Line,242,Up,0,0,Cloudy
2026-01-04,Sunday,15,Indraprastha,Blue Line,58,Down,0,1,Cloudy
2026-02-25,Wednesday,13,Civil Lines,Yellow Line,399,Up,0,0,Clear
2026-02-08,Sunday,13,Vidhan Sabha,Yellow Line,79,Up,0,1,Rainy
2026-02-04,Wednesday,17,Indraprastha,Blue Line,367,Down,1,0,Smoggy
2026-02-18,Wednesday,23,Qutab Minar,Yellow Line,159,Down,0,0,Smoggy
2026-01-25,Sunday,20,Pulbangash,Red Line,109,Down,0,1,Clear
2026-01-03,Saturday,10,New Delhi,Yellow Line,2171,Up,1,0,Clear
2026-02-18,Wednesday,21,Dwarka,Blue Line,130,Down,0,0,Clear
2026-01-03,Saturday,18,Lal Quila,Violet Line,482,Down,1,0,Foggy
2026-02-21,Saturday,20,Rohini East,Red Line,209,Down,0,0,Rainy
2026-01-12,Monday,7,NHPC Chowk,Violet Line,361,Up,0,0,Foggy
2026-02-12,Thursday,11,Raja Nahar Singh,Violet Line,344,Down,0,0,Clear
2026-02-15,Sunday,5,Shastri Nagar,Red Line,99,Down,0,1,Cloudy
2026-01-25,Sunday,12,Seelampur,Red Line,53,Up,0,1,Foggy
2026-02-13,Friday,12,Inderlok,Red Line,188,Down,0,0,Clear
2026-01-24,Saturday,8,Jangpura,Violet Line,360,Down,1,0,Clear
2026-02-05,Thursday,12,Rohini West,Red Line,422,Down,0,0,Foggy
2026-01-02,Friday,21,Badarpur Border,Violet Line,136,Down,0,0,Rainy
2026-02-10,Tuesday,5,Janakpuri West,Blue Line,147,Up,0,0,Cloudy
2026-02-03,Tuesday,21,Khan Market,Violet Line,158,Down,0,0,Smoggy
2026-01-23,Friday,22,Punjabi Bagh,Green Line,101,Down,0,0,Clear
2026-02-07,Saturday,12,Mandi House,Blue Line,622,Up,0,0,Rainy
2026-02-10,Tuesday,10,Pratap Nagar,Red Line,518,Up,1,0,Foggy
2026-02-02,Monday,23,Keshav Puram,Red Line,82,Down,0,0,Rainy
2026-01-05,Monday,20,Escorts Mujesar,Violet Line,351,Up,0,0,Foggy
2026-02-06,Friday,21,Azadpur,Yellow Line,257,Down,0,0,Clear
2026-02-20,Friday,14,Rajiv Chowk,Blue Line,397,Up,0,0,Cloudy
2026-02-07,Saturday,11,New Delhi,Yellow Line,1077,Up,0,0,Clear
2026-01-09,Friday,21,GTB Nagar,Yellow Line,35,Down,0,0,Foggy
2026-01-26,Monday,15,Saket,Yellow Line,76,Up,0,1,Foggy
2026-01-27,Tuesday,23,Barakhamba Road,Blue Line,90,Down,0,0,Foggy
2026-02-19,Thursday,18,Tughlakabad,Violet Line,423,Down,1,0,Clear
2026-01-10,Saturday,7,Delhi Gate,Violet Line,224,Up,0,0,Clear
2026-02-28,Saturday,22,Pitampura,Red Line,73,Down,0,0,Clear
2026-02-05,Thursday,12,Badkhal Mor,Violet Line,272,Up,0,0,Clear
2026-02-21,Saturday,12,Tughlakabad,Violet Line,391,Up,0,0,Rainy
2026-02-20,Friday,13,Ghitorni,Yellow Line,161,Up,0,0,Clear
2026-02-25,Wednesday,17,Rohini West,Red Line,224,Up,1,0,Rainy
2026-01-31,Saturday,21,Chhattarpur,Yellow Line,80,Up,0,0,Smoggy
2026-01-13,Tuesday,5,Shastri Nagar,Red Line,50,Up,0,0,Clear
2026-01-26,Monday,11,Mundka,Green Line,112,Down,0,1,Rainy
2026-01-27,Tuesday,19,Noida Sector 16,Blue Line,422,Down,1,0,Rainy
2026-02-06,Friday,21,Nangloi Railway Station,Green Line,39,Up,0,0,Clear
2026-02-22,Sunday,23,Mewala Maharajpur,Violet Line,62,Up,0,1,Foggy
2026-01-27,Tuesday,22,Indraprastha,Blue Line,92,Up,0,0,Foggy
2026-02-15,Sunday,16,Maharaja Surajmal Stadium,Green Line,117,Down,0,1,Clear
2026-01-01,Thursday,18,Satguru Ram Singh Marg,Green Line,737,Up,1,0,Foggy
2026-01-05,Monday,11,NHPC Chowk,Violet Line,332,Down,0,0,Foggy
2026-01-22,Thursday,15,Ashok Park Main,Green Line,57,Up,0,0,Foggy
2026-02-12,Thursday,23,Jor Bagh,Yellow Line,111,Down,0,0,Rainy
2026-01-16,Friday,11,Inderlok,Red Line,208,Down,0,0,Clear
2026-02-08,Sunday,22,HUDA City Centre,Yellow Line,155,Up,0,1,Clear
2026-01-26,Monday,22,Chawri Bazar,Yellow Line,63,Up,0,1,Smoggy
2026-02-14,Saturday,13,Khan Market,Violet Line,260,Up,0,0,Cloudy
2026-01-10,Saturday,11,Badkhal Mor,Violet Line,193,Down,0,0,Clear
2026-01-10,Saturday,15,NHPC Chowk,Violet Line,51,Up,0,0,Clear
2026-01-01,Thursday,18,ITO,Violet Line,560,Up,1,0,Clear
2026-02-14,Saturday,6,Brigadier Hoshiar Singh,Green Line,69,Up,0,0,Clear
2026-02-01,Sunday,13,Karol Bagh,Blue Line,170,Up,0,1,Rainy
2026-02-15,Sunday,11,AIIMS,Yellow Line,58,Up,0,1,Clear
2026-02-18,Wednesday,15,Green Park,Yellow Line,146,Down,0,0,Cloudy
2026-02-08,Sunday,13,Malviya Nagar,Yellow Line,105,Down,0,1,Clear
2026-01-23,Friday,16,Nehru Place,Violet Line,771,Down,0,0,Clear
2026-02-15,Sunday,20,Hauz Khas,Yellow Line,380,Up,0,1,Foggy
2026-02-28,Saturday,21,Bata Chowk,Violet Line,75,Up,0,0,Rainy
2026-01-26,Monday,9,Pulbangash,Red Line,73,Up,1,1,Cloudy
2026-01-24,Saturday,6,Sector 28,Violet Line,71,Down,0,0,Cloudy
2026-01-08,Thursday,7,MG Road,Yellow Line,404,Up,0,0,Foggy
2026-01-20,Tuesday,17,Sarita Vihar,Violet Line,239,Down,1,0,Foggy
2026-02-03,Tuesday,10,Kirti Nagar,Blue Line,216,Down,1,0,Smoggy
2026-02-09,Monday,18,Madipur,Green Line,307,Up,1,0,Foggy
2026-01-17,Saturday,10,Delhi Gate,Violet Line,568,Down,1,0,Clear
2026-01-17,Saturday,19,Jasola Apollo,Violet Line,610,Down,1,0,Foggy
2026-02-05,Thursday,11,Raja Nahar Singh,Violet Line,218,Up,0,0,Rainy
2026-01-17,Saturday,18,Rajiv Chowk,Blue Line,1744,Up,1,0,Foggy
2026-01-02,Friday,15,Ghitorni,Yellow Line,83,Down,0,0,Cloudy
2026-01-23,Friday,20,Chhattarpur,Yellow Line,198,Down,0,0,Clear
2026-01-23,Friday,20,Peeragarhi,Green Line,300,Up,0,0,Foggy
2026-01-25,Sunday,18,Netaji Subhash Place,Red Line,52,Up,1,1,Foggy
2026-02-23,Monday,14,AIIMS,Yellow Line,151,Up,0,0,Clear
2026-02-21,Saturday,22,Uttam Nagar East,Blue Line,101,Up,0,0,Cloudy
2026-01-01,Thursday,8,Shahdara,Red Line,584,Down,1,0,Foggy
2026-01-28,Wednesday,23,Dwarka,Blue Line,48,Down,0,0,Foggy
2026-02-18,Wednesday,10,Arjan Garh,Yellow Line,558,Down,1,0,Clear
2026-02-04,Wednesday,6,Ashok Park Main,Green Line,74,Down,0,0,Foggy
2026-02-09,Monday,10,IFFCO Chowk,Yellow Line,406,Up,1,0,Foggy
2026-02-07,Saturday,10,Kalkaji Mandir,Violet Line,355,Up,1,0,Cloudy
2026-01-30,Friday,5,Haiderpur Badli Mor,Yellow Line,122,Down,0,0,Clear
2026-01-03,Saturday,14,Kalkaji Mandir,Violet Line,75,Down,0,0,Clear
2026-02-23,Monday,9,Barakhamba Road,Blue Line,247,Down,1,0,Cloudy
2026-01-09,Friday,18,Model Town,Yellow Line,543,Up,1,0,Rainy
2026-02-01,Sunday,10,Moti Nagar,Blue Line,79,Down,1,1,Smoggy
2026-02-04,Wednesday,17,Shivaji Park,Green Line,518,Up,1,0,Foggy
2026-01-23,Friday,18,Moolchand,Violet Line,593,Up,1,0,Clear
2026-01-04,Sunday,6,Peeragarhi,Green Line,108,Down,0,1,Rainy
2026-01-31,Saturday,13,Samaypur Badli,Yellow Line,127,Down,0,0,Smoggy
2026-02-06,Friday,21,Khan Market,Violet Line,92,Up,0,0,Rainy
2026-01-17,Saturday,16,Janakpuri West,Blue Line,513,Up,0,0,Cloudy
2026-01-10,Saturday,8,Dwarka Sector 8,Blue Line,653,Up,1,0,Smoggy
2026-01-01,Thursday,11,Jahangirpuri,Yellow Line,300,Up,0,0,Smoggy
2026-02-26,Thursday,20,Seelampur,Red Line,98,Up,0,1,Smoggy
2026-01-07,Wednesday,18,Mohan Estate,Violet Line,612,Up,1,0,Rainy
2026-01-28,Wednesday,22,Delhi Gate,Violet Line,141,Down,0,0,Clear
2026-02-21,Saturday,6,IFFCO Chowk,Yellow Line,143,Up,0,0,Clear
2026-02-16,Monday,15,Samaypur Badli,Yellow Line,39,Down,0,0,Cloudy
2026-02-24,Tuesday,15,Janakpuri West,Blue Line,103,Up,0,0,Cloudy
2026-02-14,Saturday,13,Karol Bagh,Blue Line,825,Down,0,0,Cloudy
2026-02-19,Thursday,10,Nehru Place,Violet Line,1186,Up,1,0,Foggy
2026-01-31,Saturday,23,Civil Lines,Yellow Line,104,Down,0,0,Cloudy
2026-01-15,Thursday,9,Uttam Nagar East,Blue Line,267,Up,1,0,Foggy
2026-01-20,Tuesday,20,HUDA City Centre,Yellow Line,412,Down,0,0,Cloudy
2026-01-23,Friday,14,Ramesh Nagar,Blue Line,102,Down,0,0,Foggy
2026-01-15,Thursday,18,Race Course,Yellow Line,454,Up,1,0,Foggy
2026-02-07,Saturday,10,Keshav Puram,Red Line,612,Down,1,0,Rainy
2026-02-27,Friday,5,IFFCO Chowk,Yellow Line,81,Up,0,0,Foggy
2026-02-10,Tuesday,6,Indraprastha,Blue Line,91,Up,0,0,Foggy
2026-02-02,Monday,17,Rajouri Garden,Blue Line,1069,Down,1,0,Clear
2026-02-04,Wednesday,8,Race Course,Yellow Line,767,Up,1,0,Rainy
2026-02-09,Monday,12,Race Course,Yellow Line,281,Up,0,0,Foggy
2026-02-04,Wednesday,13,Nangloi,Green Line,197,Down,0,0,Foggy
2026-01-12,Monday,15,Guru Dronacharya,Yellow Line,79,Down,0,0,Clear
2026-01-03,Saturday,16,Punjabi Bagh,Green Line,374,Down,0,0,Cloudy
2026-01-01,Thursday,17,Jama Masjid,Violet Line,606,Down,1,0,Clear
2026-01-27,Tuesday,22,Jasola Apollo,Violet Line,40,Up,0,0,Foggy
2026-02-26,Thursday,7,Mewala Maharajpur,Violet Line,61,Down,0,1,Clear
2026-02-01,Sunday,6,Neelam Chowk Ajronda,Violet Line,67,Up,0,1,Foggy
2026-01-26,Monday,12,Rithala,Red Line,80,Down,0,1,Smoggy
2026-01-27,Tuesday,14,Pratap Nagar,Red Line,106,Down,0,0,Foggy
2026-02-05,Thursday,15,Mandi House,Blue Line,168,Up,0,0,Cloudy
2026-02-10,Tuesday,14,Rajdhani Park,Green Line,69,Up,0,0,Foggy
2026-02-27,Friday,7,Chhattarpur,Yellow Line,212,Up,0,0,Foggy
2026-01-24,Saturday,13,Tis Hazari,Red Line,208,Up,0,0,Cloudy
2026-02-03,Tuesday,20,Mandi House,Blue Line,432,Down,0,0,Rainy
2026-02-09,Monday,15,AIIMS,Yellow Line,58,Down,0,0,Clear
2026-02-26,Thursday,9,JLN Stadium,Violet Line,125,Up,1,1,Foggy
2026-02-09,Monday,12,Nangloi,Green Line,172,Down,0,0,Clear
2026-02-22,Sunday,8,Vishwavidyalaya,Yellow Line,240,Down,1,1,Cloudy
2026-02-23,Monday,15,Badarpur Border,Violet Line,94,Down,0,0,Smoggy
2026-02-06,Friday,21,Neelam Chowk Ajronda,Violet Line,111,Up,0,0,Clear
2026-01-31,Saturday,19,Indraprastha,Blue Line,475,Up,1,0,Clear
2026-01-08,Thursday,10,Netaji Subhash Place,Red Line,364,Up,1,0,Cloudy
2026-01-07,Wednesday,11,Welcome,Red Line,178,Up,0,0,Clear
2026-02-10,Tuesday,20,Welcome,Red Line,219,Down,0,0,Foggy
2026-02-11,Wednesday,10,Pratap Nagar,Red Line,370,Up,1,0,Foggy
2026-01-22,Thursday,15,Model Town,Yellow Line,109,Down,0,0,Smoggy
2026-01-08,Thursday,16,Nehru Place,Violet Line,702,Down,0,0,Cloudy
2026-02-06,Friday,22,Bata Chowk,Violet Line,62,Up,0,0,Rainy
2026-01-20,Tuesday,5,Ramesh Nagar,Blue Line,62,Up,0,0,Foggy
2026-01-05,Monday,21,Shahdara,Red Line,34,Up,0,0,Rainy
2026-01-17,Saturday,9,Sector 28,Violet Line,690,Up,1,0,Clear
2026-01-08,Thursday,16,Hauz Khas,Yellow Line,1115,Up,0,0,Cloudy
2026-01-04,Sunday,17,Noida City Centre,Blue Line,176,Up,1,1,Smoggy
2026-01-30,Friday,22,Dwarka Sector 8,Blue Line,62,Down,0,0,Foggy
2026-02-06,Friday,21,Ramesh Nagar,Blue Line,60,Down,0,0,Rainy
2026-02-28,Saturday,11,Yamuna Bank,Blue Line,577,Down,0,0,Cloudy
2026-02-13,Friday,12,Kalkaji Mandir,Violet Line,136,Down,0,0,Foggy
2026-02-17,Tuesday,6,Lajpat Nagar,Violet Line,101,Down,0,0,Smoggy
2026-01-04,Sunday,21,Barakhamba Road,Blue Line,116,Up,0,1,Cloudy
2026-01-26,Monday,13,Central Secretariat,Yellow Line,193,Down,0,1,Clear
2026-02-20,Friday,6,Vidhan Sabha,Yellow Line,149,Up,0,0,Clear
2026-02-24,Tuesday,13,Sector 28,Violet Line,214,Up,0,0,Cloudy
2026-02-19,Thursday,15,Civil Lines,Yellow Line,85,Down,0,0,Clear
2026-02-03,Tuesday,15,Janpath,Violet Line,89,Down,0,0,Clear
2026-02-01,Sunday,11,Barakhamba Road,Blue Line,67,Up,0,1,Clear
2026-01-12,Monday,21,Kashmere Gate,Yellow Line,281,Up,0,0,Cloudy
2026-01-08,Thursday,11,Moolchand,Violet Line,301,Up,0,0,Clear
2026-02-22,Sunday,18,Rajendra Place,Blue Line,53,Down,1,1,Foggy
2026-01-23,Friday,8,Noida City Centre,Blue Line,1204,Up,1,0,Clear
2026-01-12,Monday,7,Indraprastha,Blue Line,174,Down,0,0,Rainy
2026-01-16,Friday,7,Tis Hazari,Red Line,244,Up,0,0,Foggy
2026-01-14,Wednesday,8,Rohini West,Red Line,227,Up,1,0,Rainy
2026-02-01,Sunday,20,IFFCO Chowk,Yellow Line,71,Up,0,1,Foggy
2026-01-25,Sunday,5,Mundka,Green Line,65,Down,0,1,Cloudy
2026-01-01,Thursday,18,Sector 28,Violet Line,222,Up,1,0,Cloudy
2026-01-08,Thursday,20,Saket,Yellow Line,244,Down,0,0,Clear
2026-01-01,Thursday,15,Model Town,Yellow Line,86,Down,0,0,Cloudy
2026-02-10,Tuesday,16,Kanhaiya Nagar,Red Line,137,Up,0,0,Foggy
2026-01-21,Wednesday,13,Jor Bagh,Yellow Line,346,Down,0,0,Clear
2026-01-27,Tuesday,11,Rajouri Garden,Blue Line,703,Up,0,0,Foggy
2026-02-11,Wednesday,20,Shastri Nagar,Red Line,176,Down,0,0,Smoggy
2026-01-04,Sunday,13,Central Secretariat,Yellow Line,167,Up,0,1,Clear
2026-02-22,Sunday,5,Sarai,Violet Line,69,Up,0,1,Foggy
2026-02-16,Monday,23,Pragati Maidan,Blue Line,60,Up,0,0,Cloudy
2026-02-19,Thursday,12,Brigadier Hoshiar Singh,Green Line,265,Down,0,0,Clear
2026-01-13,Tuesday,9,Uttam Nagar East,Blue Line,294,Up,1,0,Clear
2026-02-03,Tuesday,13,Janakpuri West,Blue Line,575,Down,0,0,Cloudy
2026-02-18,Wednesday,17,Raja Nahar Singh,Violet Line,594,Down,1,0,Clear
2026-01-15,Thursday,19,Sultanpur,Yellow Line,821,Up,1,0,Clear
2026-01-09,Friday,9,Udyog Bhawan,Yellow Line,484,Up,1,0,Rainy
2026-02-15,Sunday,12,Pitampura,Red Line,55,Down,0,1,Foggy
2026-02-03,Tuesday,14,HUDA City Centre,Yellow Line,123,Down,0,0,Rainy
2026-01-09,Friday,23,Haiderpur Badli Mor,Yellow Line,66,Down,0,0,Cloudy
2026-02-09,Monday,18,Jahangirpuri,Yellow Line,545,Down,1,0,Clear
2026-02-15,Sunday,7,Keshav Puram,Red Line,50,Down,0,1,Clear
2026-01-07,Wednesday,13,Azadpur,Yellow Line,487,Up,0,0,Rainy
2026-02-07,Saturday,11,Mewala Maharajpur,Violet Line,283,Down,0,0,Clear
2026-01-29,Thursday,11,Sarita Vihar,Violet Line,364,Up,0,0,Clear
2026-01-25,Sunday,9,Badarpur Border,Violet Line,79,Down,1,1,Cloudy
2026-02-01,Sunday,23,Barakhamba Road,Blue Line,83,Down,0,1,Clear
2026-01-15,Thursday,22,Welcome,Red Line,131,Down,0,0,Clear
2026-02-24,Tuesday,12,Rohini Sector 18,Yellow Line,311,Up,0,0,Cloudy
2026-01-15,Thursday,21,GTB Nagar,Yellow Line,130,Up,0,0,Foggy
2026-02-06,Friday,23,Janakpuri West,Blue Line,231,Up,0,0,Clear
2026-01-24,Saturday,15,Kalkaji Mandir,Violet Line,126,Up,0,0,Cloudy
2026-02-23,Monday,17,New Delhi,Yellow Line,1550,Down,1,0,Clear
2026-02-25,Wednesday,19,Punjabi Bagh,Green Line,504,Up,1,0,Clear
2026-02-14,Saturday,15,New Delhi,Yellow Line,455,Down,0,0,Rainy
2026-02-06,Friday,13,Tis Hazari,Red Line,151,Down,0,0,Clear
2026-01-15,Thursday,8,Jama Masjid,Violet Line,354,Down,1,0,Cloudy
2026-01-12,Monday,5,Raja Nahar Singh,Violet Line,86,Up,0,0,Cloudy
2026-01-11,Sunday,5,Race Course,Yellow Line,48,Up,0,1,Foggy
2026-02-26,Thursday,16,Madipur,Green Line,118,Down,0,1,Smoggy
2026-01-12,Monday,18,Noida City Centre,Blue Line,1140,Up,1,0,Cloudy
2026-02-21,Saturday,8,Civil Lines,Yellow Line,512,Up,1,0,Cloudy
2026-02-14,Saturday,21,Saket,Yellow Line,75,Up,0,0,Smoggy
2026-02-27,Friday,5,Pragati Maidan,Blue Line,99,Up,0,0,Foggy
2026-01-20,Tuesday,9,Netaji Subhash Place,Red Line,463,Up,1,0,Foggy
2026-01-01,Thursday,11,Noida City Centre,Blue Line,541,Up,0,0,Clear
2026-01-30,Friday,21,Patel Chowk,Yellow Line,103,Down,0,0,Clear
2026-02-28,Saturday,10,Govindpuri,Violet Line,509,Down,1,0,Clear
2026-02-17,Tuesday,14,Nangloi,Green Line,78,Down,0,0,Foggy
2026-01-15,Thursday,20,Chawri Bazar,Yellow Line,315,Up,0,0,Clear
2026-02-23,Monday,16,Barakhamba Road,Blue Line,246,Up,0,0,Smoggy
2026-02-16,Monday,7,Ghitorni,Yellow Line,210,Up,0,0,Cloudy
2026-02-01,Sunday,10,Haiderpur Badli Mor,Yellow Line,54,Down,1,1,Clear
2026-02-27,Friday,15,Azadpur,Yellow Line,283,Up,0,0,Clear
